S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
186,"Supplier#000000186","LrJxkn4VD b,fENV",1,11-398-253-5445,4397.48,pending accounts. silent deposits are fluffily above the carefully regu
187,"Supplier#000000187",Deyt7GUJ7tgaJIpw 6QQXYsgcILdCPnA,18,28-127-320-9230,8517.04,pending excuses. furiously regular packages nag q
188,"Supplier#000000188",QCb0NcUbHdpqnCexXlQ3h99mIHKzWhUO2DK,20,30-573-811-4001,1020.57, blithely express dependencies cajo
189,"Supplier#000000189",9FblnmhDDWLy CF,9,19-482-239-6669,1636.09,gside of the blithely final platelets integrate furiousl
190,"Supplier#000000190",BB3kfTCeZrwsaN,10,20-995-359-7606,6705.44,y final accounts. unusual packages cajole: s
191,"Supplier#000000191",4rN1KVnywZU3T,18,28-437-699-1621,1445.00,s wake alongside of the ironic accounts. carefully unusual packages are 
192,"Supplier#000000192",8xPZyX6Fhv2V6,15,25-585-189-5975,7031.84,dolites! carefully express requests according to th
193,"Supplier#000000193",0kwCpz0AmlsmQgs3doF,5,15-872-804-8448,9095.64,carefully; furiously even deposits haggle against the slyly express pinto beans-- always 
194,"Supplier#000000194",fniG7TOjzT,9,19-741-822-3512,1487.08,"unts cajole about the final, final reque"
195,"Supplier#000000195","v4tYZ3F6tXaUf,Z",2,12-395-261-9720,-767.31," boost along the furiously express theodolites. pending, express requests use outside the quic"
196,"Supplier#000000196",8a3WLfvpVy4CsWlJWomJrfJIU,18,28-430-406-1127,4710.62,ly final accounts wake furiously sometimes ev
197,"Supplier#000000197","3oYqODDUGH3XsHXmPuzYHW5NLU3,ONZl",3,13-999-250-8664,2398.30,unts haggle furiously before the quiet deposits. accounts hagg
198,"Supplier#000000198",EO4MRE7pAhn7DC,6,16-355-298-7120,2187.91,regular packages sleep slyly about the fluffily regular accounts. blithely reg
199,"Supplier#000000199",H0SlSmknxdsXxNPGc,22,32-268-147-8879,8151.22,l dependencies. bravely final deposits cajole s
200,"Supplier#000000200",fdAQLE5VY6hwvxGYHloD1qhGf,11,21-962-509-4762,1589.13,"bold, pending attainments was. fluffily final foxes boost according to the blithely even re"
