P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
1092,sienna dodger olive misty deep,"Manufacturer#1","Brand#12",STANDARD ANODIZED BRASS,3,SM PKG,993.09,tructions use
1093,green azure puff metallic lace,"Manufacturer#2","Brand#25",STANDARD ANODIZED TIN,9,JUMBO BOX,994.09, use. carefully
1094,papaya moccasin powder rose bisque,"Manufacturer#4","Brand#42",SMALL ANODIZED COPPER,2,SM PKG,995.09,ely final de
1095,green blue royal coral indian,"Manufacturer#3","Brand#35",MEDIUM BURNISHED TIN,24,JUMBO DRUM,996.09,to the carefull
1096,frosted burlywood honeydew pink lawn,"Manufacturer#5","Brand#51",SMALL PLATED NICKEL,33,LG DRUM,997.09,theodoli
1097,dim antique dark blanched pink,"Manufacturer#3","Brand#31",ECONOMY BRUSHED STEEL,1,JUMBO CASE,998.09,s against the
1098,lace hot bisque firebrick lawn,"Manufacturer#2","Brand#21",ECONOMY POLISHED STEEL,44,JUMBO BAG,999.09,. unusual 
1099,coral orchid grey lavender misty,"Manufacturer#3","Brand#32",PROMO PLATED COPPER,43,LG DRUM,1000.09,ly. ironic depen
1100,lawn navajo white honeydew steel,"Manufacturer#4","Brand#41",ECONOMY BRUSHED STEEL,8,MED PKG,1001.10, regular requests
1101,burlywood moccasin steel grey powder,"Manufacturer#5","Brand#53",STANDARD POLISHED BRASS,21,JUMBO BOX,1002.10,he blithely unu
1102,peach chocolate burnished steel khaki,"Manufacturer#4","Brand#45",PROMO PLATED COPPER,21,SM CAN,1003.10,e abo
1103,midnight chocolate slate rosy lace,"Manufacturer#5","Brand#53",ECONOMY ANODIZED BRASS,35,LG DRUM,1004.10,lly whithout the
1104,navajo goldenrod powder grey violet,"Manufacturer#2","Brand#23",MEDIUM BRUSHED TIN,22,MED BAG,1005.10,blithely alongs
1105,brown olive black seashell lavender,"Manufacturer#2","Brand#25",MEDIUM PLATED COPPER,7,JUMBO DRUM,1006.10,ymptotes sleep sly
1106,brown floral light black orchid,"Manufacturer#1","Brand#14",MEDIUM ANODIZED TIN,25,WRAP BAG,1007.10,accounts alo
1107,forest sandy wheat blue snow,"Manufacturer#3","Brand#34",ECONOMY BRUSHED COPPER,47,LG DRUM,1008.10,riously instructions: 
1108,azure dark sienna black wheat,"Manufacturer#1","Brand#13",MEDIUM POLISHED BRASS,24,WRAP CASE,1009.10,slyly quick
1109,azure lime gainsboro orchid firebrick,"Manufacturer#5","Brand#54",ECONOMY BURNISHED NICKEL,13,JUMBO PACK,1010.10,ct about the furiously
1110,light lavender smoke gainsboro pink,"Manufacturer#4","Brand#44",STANDARD BURNISHED TIN,41,WRAP CAN,1011.11,xpress accounts. f
1111,sienna powder magenta peach drab,"Manufacturer#1","Brand#11",LARGE BRUSHED COPPER,41,WRAP CAN,1012.11,sometimes final frets 
1112,orchid dodger blush seashell chiffon,"Manufacturer#1","Brand#11",MEDIUM BRUSHED COPPER,21,JUMBO CASE,1013.11,ly regular p
1113,cornflower navy smoke chartreuse snow,"Manufacturer#3","Brand#33",ECONOMY BURNISHED STEEL,39,SM PACK,1014.11,uctions. quickly f
1114,lime moccasin seashell orange coral,"Manufacturer#4","Brand#43",LARGE POLISHED COPPER,43,MED DRUM,1015.11,al requests
1115,green saddle bisque goldenrod peach,"Manufacturer#2","Brand#24",PROMO PLATED NICKEL,47,LG CAN,1016.11,e ideas. d
1116,saddle tan cyan red navajo,"Manufacturer#3","Brand#34",ECONOMY ANODIZED TIN,49,JUMBO CASE,1017.11,e above 
1117,salmon saddle mint snow antique,"Manufacturer#1","Brand#13",PROMO BURNISHED COPPER,28,WRAP PACK,1018.11,ven deposits. furi
1118,midnight yellow steel dodger rose,"Manufacturer#5","Brand#55",SMALL POLISHED NICKEL,37,SM BOX,1019.11,uickly regular p
1119,brown mint lavender moccasin slate,"Manufacturer#1","Brand#14",ECONOMY BRUSHED NICKEL,24,WRAP JAR,1020.11,ly along th
1120,steel slate black purple indian,"Manufacturer#2","Brand#22",SMALL PLATED TIN,1,MED CASE,1021.12, along the ironic de
1121,rose lemon sky beige aquamarine,"Manufacturer#3","Brand#35",LARGE BRUSHED STEEL,25,LG JAR,1022.12,nstructions w
1122,tomato thistle grey slate dark,"Manufacturer#4","Brand#44",STANDARD BRUSHED NICKEL,7,SM BAG,1023.12,sual foxes
1123,olive lavender saddle green grey,"Manufacturer#2","Brand#23",ECONOMY BURNISHED NICKEL,29,WRAP BAG,1024.12,! deposits sleep. 
1124,green magenta lime dim brown,"Manufacturer#2","Brand#22",MEDIUM BURNISHED TIN,23,WRAP JAR,1025.12,press escapades. pen
1125,peach deep cornflower thistle brown,"Manufacturer#2","Brand#23",SMALL PLATED NICKEL,12,WRAP DRUM,1026.12,usual theodolites ha
1126,sky chartreuse drab violet goldenrod,"Manufacturer#2","Brand#23",MEDIUM BURNISHED TIN,27,LG PACK,1027.12,fix according t
1127,black drab deep blue maroon,"Manufacturer#2","Brand#22",SMALL PLATED STEEL,37,SM PKG,1028.12,y boldly regular pint
1128,grey tan lawn violet cornflower,"Manufacturer#5","Brand#52",STANDARD POLISHED STEEL,19,SM CAN,1029.12,atelets
1129,tan orchid yellow hot rosy,"Manufacturer#4","Brand#44",SMALL ANODIZED TIN,45,SM JAR,1030.12,. blith
1130,beige blue wheat medium khaki,"Manufacturer#4","Brand#45",STANDARD PLATED STEEL,27,SM DRUM,1031.13, requests. courts af
1131,aquamarine maroon coral blanched steel,"Manufacturer#3","Brand#33",MEDIUM PLATED STEEL,49,WRAP BOX,1032.13,eposits. daringly pen
1132,blanched rose black lawn dark,"Manufacturer#2","Brand#22",STANDARD PLATED TIN,19,SM PKG,1033.13,ilent packages us
1133,aquamarine thistle pink cornflower pale,"Manufacturer#5","Brand#51",SMALL ANODIZED TIN,43,JUMBO PKG,1034.13,thely even account
1134,sandy antique papaya forest powder,"Manufacturer#1","Brand#14",PROMO PLATED BRASS,10,SM PACK,1035.13,ts. s
1135,forest beige turquoise maroon purple,"Manufacturer#1","Brand#13",MEDIUM PLATED STEEL,27,WRAP JAR,1036.13, pinto beans. f
1136,floral ivory drab cyan black,"Manufacturer#4","Brand#41",PROMO POLISHED NICKEL,38,SM JAR,1037.13,unusu
1137,misty deep moccasin chocolate cyan,"Manufacturer#4","Brand#44",LARGE PLATED BRASS,21,WRAP JAR,1038.13,l dolphins. blithely
1138,magenta frosted gainsboro forest orchid,"Manufacturer#1","Brand#14",SMALL PLATED NICKEL,30,LG PKG,1039.13,iously express 
1139,ghost violet wheat saddle almond,"Manufacturer#4","Brand#41",ECONOMY BRUSHED TIN,13,WRAP CASE,1040.13, unusual fo
1140,navy sky dark snow peach,"Manufacturer#1","Brand#15",LARGE BURNISHED BRASS,22,SM DRUM,1041.14,ts are carefully e
1141,orchid lemon grey brown moccasin,"Manufacturer#5","Brand#52",LARGE BURNISHED TIN,45,JUMBO CASE,1042.14,sits. sly
1142,violet plum burlywood navajo cyan,"Manufacturer#4","Brand#44",ECONOMY ANODIZED NICKEL,36,LG CAN,1043.14,refully even dolphi
1143,navajo lawn cornsilk firebrick magenta,"Manufacturer#2","Brand#22",MEDIUM POLISHED COPPER,20,LG CAN,1044.14,ermanen
1144,saddle plum lace powder slate,"Manufacturer#2","Brand#25",ECONOMY PLATED NICKEL,23,WRAP JAR,1045.14,heodolites. bol
1145,dim black maroon grey cornsilk,"Manufacturer#2","Brand#24",PROMO ANODIZED NICKEL,30,SM PACK,1046.14,r theodolites
1146,papaya metallic royal peach seashell,"Manufacturer#2","Brand#23",STANDARD BURNISHED NICKEL,26,SM PKG,1047.14,ag quickly around the 
1147,smoke firebrick yellow dark cornsilk,"Manufacturer#1","Brand#15",ECONOMY BURNISHED BRASS,14,MED CASE,1048.14,unusual f
1148,smoke medium chartreuse orchid light,"Manufacturer#5","Brand#52",MEDIUM ANODIZED TIN,8,SM PKG,1049.14,r accounts. ironic 
1149,peru sky almond aquamarine drab,"Manufacturer#4","Brand#42",STANDARD POLISHED BRASS,35,MED BOX,1050.14,d deposits cajo
1150,orange tomato maroon puff pale,"Manufacturer#2","Brand#21",LARGE POLISHED TIN,20,WRAP CAN,1051.15,terns su
1151,drab cyan orange blush forest,"Manufacturer#4","Brand#44",ECONOMY POLISHED NICKEL,23,MED PACK,1052.15,osits. qu
1152,navy turquoise antique bisque cyan,"Manufacturer#5","Brand#52",PROMO BRUSHED TIN,32,LG BAG,1053.15,al ide
1153,black metallic tomato khaki rosy,"Manufacturer#5","Brand#54",MEDIUM BRUSHED TIN,35,LG CAN,1054.15,sly sp
1154,peach peru black pale floral,"Manufacturer#1","Brand#15",STANDARD BURNISHED NICKEL,8,JUMBO DRUM,1055.15,ss the b
1155,light honeydew moccasin spring turquoise,"Manufacturer#2","Brand#22",MEDIUM PLATED STEEL,40,LG BOX,1056.15,he even asymptotes 
1156,frosted blue ghost purple coral,"Manufacturer#5","Brand#55",LARGE PLATED BRASS,8,JUMBO CASE,1057.15,ironic dependencies. f
1157,chartreuse lawn peru peach cornflower,"Manufacturer#2","Brand#21",SMALL ANODIZED STEEL,1,JUMBO PKG,1058.15,ar requests wake flu
1158,salmon rosy goldenrod dodger violet,"Manufacturer#2","Brand#21",LARGE PLATED COPPER,16,LG BOX,1059.15,accounts.
1159,tan sky gainsboro green orange,"Manufacturer#1","Brand#13",ECONOMY POLISHED BRASS,9,SM BAG,1060.15,", speci"
1160,spring linen antique papaya yellow,"Manufacturer#3","Brand#33",SMALL BRUSHED STEEL,3,JUMBO DRUM,1061.16,ges ar
1161,sienna peach steel green light,"Manufacturer#4","Brand#41",LARGE PLATED STEEL,2,WRAP PKG,1062.16,y among t
1162,peach wheat dark sandy chartreuse,"Manufacturer#5","Brand#54",LARGE BURNISHED BRASS,49,LG CAN,1063.16,ar excuses. fi
1163,moccasin drab olive metallic papaya,"Manufacturer#3","Brand#33",LARGE BRUSHED BRASS,13,LG PACK,1064.16,quickly since the reg
1164,lavender hot ivory chartreuse burlywood,"Manufacturer#5","Brand#52",STANDARD ANODIZED STEEL,6,LG PACK,1065.16,the slyly regular ac
1165,blush yellow indian cyan orchid,"Manufacturer#4","Brand#41",STANDARD BRUSHED NICKEL,4,LG PKG,1066.16,even requests ac
1166,salmon burlywood linen forest antique,"Manufacturer#3","Brand#35",STANDARD ANODIZED NICKEL,14,LG JAR,1067.16,request
1167,olive khaki drab seashell powder,"Manufacturer#2","Brand#21",STANDARD PLATED BRASS,49,MED DRUM,1068.16,eans serv
1168,frosted cornflower misty plum magenta,"Manufacturer#2","Brand#22",LARGE BRUSHED NICKEL,42,MED CASE,1069.16,old theodolite
1169,sienna beige burlywood chocolate hot,"Manufacturer#2","Brand#25",MEDIUM PLATED TIN,8,LG JAR,1070.16,platelets use furi
1170,navajo lemon violet sandy frosted,"Manufacturer#5","Brand#53",SMALL ANODIZED STEEL,10,WRAP DRUM,1071.17,"the unusual, pend"
1171,sienna gainsboro royal black lavender,"Manufacturer#4","Brand#45",MEDIUM BRUSHED BRASS,27,WRAP DRUM,1072.17,blithely. final de
1172,tomato plum grey chartreuse floral,"Manufacturer#4","Brand#45",MEDIUM POLISHED COPPER,15,WRAP PKG,1073.17,nic deposits are 
1173,sienna blanched pale red spring,"Manufacturer#1","Brand#14",ECONOMY PLATED NICKEL,37,JUMBO JAR,1074.17,y blithe deposit
1174,cream orange seashell orchid plum,"Manufacturer#4","Brand#42",STANDARD POLISHED NICKEL,16,SM CASE,1075.17,ronic foxes inte
1175,white peru burnished moccasin seashell,"Manufacturer#2","Brand#24",MEDIUM POLISHED TIN,29,JUMBO JAR,1076.17,ent foxes use s
1176,moccasin orchid pale blue goldenrod,"Manufacturer#4","Brand#42",PROMO PLATED NICKEL,22,WRAP CAN,1077.17,after the fluf
1177,hot medium cornflower dark rose,"Manufacturer#5","Brand#54",ECONOMY BRUSHED NICKEL,42,LG CASE,1078.17,wake blithely bold de
1178,plum azure almond coral dim,"Manufacturer#2","Brand#24",MEDIUM POLISHED TIN,46,WRAP CAN,1079.17,ainst the quickly r
1179,white magenta steel khaki floral,"Manufacturer#4","Brand#43",ECONOMY ANODIZED COPPER,19,LG DRUM,1080.17,oxes in pl
1180,steel puff cornflower orange thistle,"Manufacturer#1","Brand#15",LARGE POLISHED COPPER,8,MED CASE,1081.18,efully final requests 
1181,violet burnished firebrick slate moccasin,"Manufacturer#2","Brand#23",PROMO BRUSHED BRASS,17,LG BAG,1082.18,thely. quickly 
1182,metallic maroon turquoise puff lime,"Manufacturer#1","Brand#15",LARGE POLISHED COPPER,24,SM JAR,1083.18,lly even r
1183,turquoise indian cornsilk pink seashell,"Manufacturer#2","Brand#25",LARGE POLISHED STEEL,25,WRAP BOX,1084.18,ely regular inst
1184,linen slate violet bisque mint,"Manufacturer#1","Brand#14",MEDIUM BURNISHED NICKEL,32,WRAP PKG,1085.18,al deposits.
1185,mint lawn sky ivory lavender,"Manufacturer#2","Brand#21",PROMO PLATED TIN,12,SM PACK,1086.18, quickly regular acc
1186,sky frosted dodger peru moccasin,"Manufacturer#4","Brand#43",PROMO BURNISHED COPPER,13,LG CASE,1087.18,ross the
1187,royal powder goldenrod gainsboro firebrick,"Manufacturer#1","Brand#15",MEDIUM POLISHED COPPER,44,WRAP JAR,1088.18,ts about the fluffi
1188,khaki sky misty sandy tan,"Manufacturer#3","Brand#35",LARGE BRUSHED STEEL,42,LG CAN,1089.18,nis integr
1189,dodger moccasin chocolate burlywood drab,"Manufacturer#5","Brand#51",STANDARD POLISHED COPPER,20,JUMBO JAR,1090.18,ual requests detect
1190,magenta misty lawn salmon navajo,"Manufacturer#2","Brand#21",SMALL BRUSHED BRASS,24,MED PACK,1091.19,ithely regu
1191,rosy honeydew powder frosted navy,"Manufacturer#1","Brand#13",LARGE BURNISHED TIN,49,SM CASE,1092.19,side of the q
1192,aquamarine ghost navajo gainsboro chartreuse,"Manufacturer#4","Brand#42",SMALL POLISHED TIN,15,LG CAN,1093.19,sleep blithely
1193,olive purple turquoise cornflower honeydew,"Manufacturer#1","Brand#11",STANDARD POLISHED NICKEL,45,SM CAN,1094.19, ideas are s
1194,salmon moccasin lemon azure cyan,"Manufacturer#5","Brand#53",MEDIUM BRUSHED STEEL,35,JUMBO DRUM,1095.19,ss ac
1195,plum olive thistle salmon khaki,"Manufacturer#1","Brand#13",MEDIUM PLATED COPPER,19,WRAP DRUM,1096.19,sly bo
1196,gainsboro dim cyan frosted thistle,"Manufacturer#1","Brand#13",ECONOMY PLATED STEEL,23,MED JAR,1097.19,eans along the furi
1197,spring saddle sandy slate antique,"Manufacturer#5","Brand#53",MEDIUM POLISHED STEEL,26,JUMBO DRUM,1098.19, regular
1198,plum firebrick white mint beige,"Manufacturer#5","Brand#52",MEDIUM BURNISHED STEEL,26,MED BAG,1099.19,ep qu
1199,rosy dim light misty rose,"Manufacturer#1","Brand#12",LARGE ANODIZED BRASS,1,LG PKG,1100.19,dependenc
1200,coral green black chocolate mint,"Manufacturer#1","Brand#11",PROMO BURNISHED TIN,42,SM PKG,1101.20,y reg
1201,indian lavender cornflower metallic lawn,"Manufacturer#5","Brand#54",LARGE POLISHED COPPER,21,JUMBO DRUM,1102.20, affix 
1202,lemon plum chartreuse hot purple,"Manufacturer#1","Brand#14",PROMO BURNISHED TIN,17,LG BAG,1103.20,ites wake blit
1203,coral navy aquamarine hot turquoise,"Manufacturer#5","Brand#51",PROMO PLATED STEEL,35,WRAP JAR,1104.20,e slyly pending
1204,cyan blanched red steel sky,"Manufacturer#2","Brand#25",MEDIUM POLISHED NICKEL,15,LG JAR,1105.20,y silent 
1205,beige azure red plum olive,"Manufacturer#2","Brand#22",STANDARD BRUSHED COPPER,22,LG BOX,1106.20,x-ray care
1206,yellow turquoise peru purple cornflower,"Manufacturer#3","Brand#34",MEDIUM POLISHED NICKEL,43,MED CASE,1107.20, accounts wa
1207,azure magenta powder salmon orange,"Manufacturer#4","Brand#45",MEDIUM POLISHED STEEL,41,MED JAR,1108.20,r depos
1208,purple azure burlywood chocolate metallic,"Manufacturer#1","Brand#11",SMALL POLISHED COPPER,27,JUMBO PACK,1109.20,arefully special co
1209,salmon bisque aquamarine peach moccasin,"Manufacturer#5","Brand#52",STANDARD BURNISHED COPPER,32,JUMBO BAG,1110.20,instr
1210,misty chocolate sandy firebrick grey,"Manufacturer#5","Brand#54",SMALL PLATED BRASS,23,SM DRUM,1111.21,ncies 
1211,blush goldenrod purple green indian,"Manufacturer#3","Brand#35",SMALL ANODIZED TIN,39,SM CAN,1112.21,ccounts was blith
1212,cyan firebrick medium orchid white,"Manufacturer#1","Brand#12",LARGE ANODIZED TIN,45,LG PACK,1113.21,ounts are blithe fox
1213,sandy khaki smoke puff forest,"Manufacturer#1","Brand#13",STANDARD PLATED TIN,50,JUMBO JAR,1114.21,osits. express request
1214,burnished firebrick ivory peru steel,"Manufacturer#5","Brand#51",LARGE PLATED TIN,33,JUMBO CASE,1115.21, furiously ironic
1215,tan turquoise dodger linen burnished,"Manufacturer#5","Brand#52",ECONOMY ANODIZED BRASS,14,SM DRUM,1116.21," are blithely even,"
1216,cyan cream forest magenta smoke,"Manufacturer#4","Brand#41",MEDIUM POLISHED BRASS,14,JUMBO PKG,1117.21,ly regular ideas. qui
1217,orange ghost pale dim beige,"Manufacturer#5","Brand#52",MEDIUM ANODIZED COPPER,29,SM DRUM,1118.21,g the fluffily un
1218,rosy gainsboro maroon blue burlywood,"Manufacturer#2","Brand#22",STANDARD BRUSHED TIN,34,SM CASE,1119.21, hang
1219,midnight salmon cream indian ghost,"Manufacturer#4","Brand#43",LARGE ANODIZED COPPER,21,WRAP CASE,1120.21, ironi
1220,mint tomato ivory magenta goldenrod,"Manufacturer#3","Brand#31",SMALL BURNISHED TIN,18,JUMBO PKG,1121.22,ctions cajole 
1221,rosy wheat royal beige coral,"Manufacturer#2","Brand#23",LARGE BURNISHED BRASS,5,WRAP CASE,1122.22,ously afte
1222,floral peru sandy white dim,"Manufacturer#2","Brand#21",MEDIUM POLISHED TIN,8,MED JAR,1123.22,lly bold foxes. 
1223,sky yellow mint chiffon wheat,"Manufacturer#1","Brand#12",MEDIUM ANODIZED STEEL,16,SM DRUM,1124.22,ns after the ev
1224,seashell navy khaki hot purple,"Manufacturer#3","Brand#35",SMALL BURNISHED NICKEL,29,SM PACK,1125.22,uickly s
1225,chocolate beige cornsilk lawn olive,"Manufacturer#3","Brand#32",ECONOMY BURNISHED NICKEL,38,WRAP PKG,1126.22,ate furio
1226,purple burnished linen dim chocolate,"Manufacturer#5","Brand#52",LARGE POLISHED NICKEL,36,WRAP PKG,1127.22,gular pinto beans. 
1227,green hot drab cornflower blush,"Manufacturer#1","Brand#14",PROMO PLATED NICKEL,2,SM CAN,1128.22,ringly final pinto be
1228,blanched drab deep spring orange,"Manufacturer#3","Brand#34",ECONOMY BURNISHED TIN,2,JUMBO PACK,1129.22,ilent asymptotes. 
1229,bisque green indian dark yellow,"Manufacturer#2","Brand#24",LARGE BURNISHED STEEL,47,JUMBO DRUM,1130.22,lites haggle careful
1230,olive navajo navy gainsboro spring,"Manufacturer#5","Brand#52",STANDARD BRUSHED TIN,12,MED JAR,1131.23,ithely eve
1231,navy tan red dark seashell,"Manufacturer#4","Brand#42",LARGE ANODIZED NICKEL,4,JUMBO CAN,1132.23,carefully fi
1232,peru yellow papaya saddle beige,"Manufacturer#4","Brand#43",MEDIUM PLATED NICKEL,2,SM BAG,1133.23,luffily bold depe
1233,blanched misty hot peach cyan,"Manufacturer#2","Brand#21",SMALL BURNISHED BRASS,32,MED BOX,1134.23,eep furiously
1234,thistle cornsilk cornflower maroon dodger,"Manufacturer#4","Brand#42",SMALL BRUSHED STEEL,28,LG JAR,1135.23,thely silent idea
1235,thistle salmon snow cornflower midnight,"Manufacturer#4","Brand#44",SMALL PLATED NICKEL,12,SM BAG,1136.23,accounts boost blit
1236,dim rose rosy almond purple,"Manufacturer#4","Brand#42",MEDIUM ANODIZED NICKEL,26,LG CAN,1137.23,its wake packages! dep
1237,coral rose puff chiffon green,"Manufacturer#2","Brand#25",STANDARD ANODIZED BRASS,10,MED DRUM,1138.23,carefu
1238,steel indian magenta royal grey,"Manufacturer#1","Brand#11",ECONOMY PLATED BRASS,13,MED CASE,1139.23,er the furiously 
1239,purple dodger lime peach burnished,"Manufacturer#5","Brand#51",PROMO BURNISHED STEEL,24,LG CASE,1140.23,efully pending sauter
1240,grey orchid sandy wheat midnight,"Manufacturer#2","Brand#22",ECONOMY BURNISHED NICKEL,19,MED JAR,1141.24,luffily special
1241,almond magenta cornsilk metallic blue,"Manufacturer#4","Brand#41",STANDARD BRUSHED BRASS,10,LG DRUM,1142.24,ial p
1242,dodger brown ivory blue pink,"Manufacturer#3","Brand#31",ECONOMY ANODIZED COPPER,25,MED DRUM,1143.24,usly bold pi
1243,lemon lace ivory khaki wheat,"Manufacturer#2","Brand#23",LARGE BRUSHED NICKEL,47,JUMBO BOX,1144.24,ironi
1244,grey deep midnight tomato cream,"Manufacturer#1","Brand#12",MEDIUM PLATED NICKEL,24,MED PACK,1145.24,ecial pinto be
1245,ivory thistle papaya puff powder,"Manufacturer#3","Brand#33",SMALL POLISHED NICKEL,4,WRAP PACK,1146.24,s slyly about the qu
1246,aquamarine chartreuse deep magenta olive,"Manufacturer#1","Brand#11",STANDARD POLISHED COPPER,27,JUMBO DRUM,1147.24,the bold request
1247,goldenrod papaya floral blanched wheat,"Manufacturer#3","Brand#35",SMALL POLISHED BRASS,18,WRAP JAR,1148.24, bold foxes. blithely
1248,goldenrod honeydew cornflower red midnight,"Manufacturer#3","Brand#32",SMALL BURNISHED STEEL,33,LG CAN,1149.24,telets haggle f
1249,bisque deep cornsilk honeydew tomato,"Manufacturer#3","Brand#35",STANDARD ANODIZED COPPER,1,WRAP CASE,1150.24,efully a
1250,hot black puff peru almond,"Manufacturer#5","Brand#51",SMALL POLISHED NICKEL,10,LG BAG,1151.25,uld have to wake al
1251,sienna indian royal green smoke,"Manufacturer#1","Brand#12",STANDARD ANODIZED STEEL,16,JUMBO BAG,1152.25,olphins. ru
1252,deep firebrick slate dim misty,"Manufacturer#2","Brand#21",PROMO BRUSHED STEEL,23,JUMBO BOX,1153.25,gular 
1253,burlywood rosy turquoise coral mint,"Manufacturer#1","Brand#14",LARGE ANODIZED NICKEL,9,SM PACK,1154.25, quickly al
1254,turquoise white papaya grey puff,"Manufacturer#2","Brand#24",PROMO BRUSHED STEEL,7,WRAP PACK,1155.25,ackages are caref
1255,cornflower hot red aquamarine powder,"Manufacturer#5","Brand#52",LARGE POLISHED NICKEL,1,WRAP BOX,1156.25,ly regula
1256,maroon medium salmon ghost dim,"Manufacturer#5","Brand#53",PROMO POLISHED BRASS,16,WRAP DRUM,1157.25,ironic reque
1257,misty moccasin yellow gainsboro lavender,"Manufacturer#5","Brand#52",MEDIUM BURNISHED BRASS,1,SM BAG,1158.25,ly at the fluffily iro
1258,rose brown violet chocolate saddle,"Manufacturer#5","Brand#52",MEDIUM BRUSHED STEEL,30,LG DRUM,1159.25,nt instr
1259,lavender violet bisque maroon azure,"Manufacturer#5","Brand#54",LARGE POLISHED NICKEL,43,MED CASE,1160.25,must have to ha
1260,ivory steel plum gainsboro sienna,"Manufacturer#4","Brand#43",PROMO BRUSHED STEEL,15,LG PKG,1161.26,uriously express instr
1261,pink peru turquoise salmon forest,"Manufacturer#5","Brand#55",MEDIUM PLATED NICKEL,21,LG BOX,1162.26,ily a
1262,saddle olive rosy tomato slate,"Manufacturer#3","Brand#35",SMALL BRUSHED BRASS,37,WRAP CASE,1163.26,"ter the express, exp"
1263,olive puff magenta lace almond,"Manufacturer#4","Brand#44",STANDARD ANODIZED COPPER,34,MED PACK,1164.26,furiously dogged bra
1264,snow blush forest coral saddle,"Manufacturer#4","Brand#42",STANDARD ANODIZED NICKEL,7,MED JAR,1165.26,ts poach quickly fi
1265,salmon chartreuse grey pink burnished,"Manufacturer#5","Brand#53",LARGE BURNISHED COPPER,8,JUMBO CAN,1166.26,ake quickly daring
1266,orchid hot brown tomato cream,"Manufacturer#3","Brand#33",SMALL ANODIZED TIN,10,LG PACK,1167.26,he ideas. speci
1267,spring salmon violet lime ghost,"Manufacturer#1","Brand#11",PROMO BURNISHED BRASS,36,MED CASE,1168.26, bold accounts. regula
1268,tomato rosy beige yellow tan,"Manufacturer#3","Brand#31",ECONOMY POLISHED STEEL,47,LG PKG,1169.26,der flu
1269,sienna steel tomato grey indian,"Manufacturer#5","Brand#51",SMALL PLATED STEEL,28,WRAP CAN,1170.26, the blithely final
1270,lemon moccasin medium beige cornsilk,"Manufacturer#3","Brand#35",LARGE ANODIZED TIN,30,SM BAG,1171.27,cajole 
1271,metallic wheat pale slate chartreuse,"Manufacturer#2","Brand#23",MEDIUM BRUSHED NICKEL,3,LG JAR,1172.27,y final theodoli
1272,maroon grey light deep cornsilk,"Manufacturer#3","Brand#33",PROMO BURNISHED NICKEL,10,WRAP BAG,1173.27,"ic, silent theodo"
1273,papaya dark cornflower azure ivory,"Manufacturer#2","Brand#25",MEDIUM BRUSHED COPPER,11,LG JAR,1174.27,ular deposit
1274,lavender honeydew rose rosy gainsboro,"Manufacturer#5","Brand#55",SMALL POLISHED BRASS,39,MED PKG,1175.27, ideas. care
1275,metallic turquoise saddle spring tan,"Manufacturer#5","Brand#51",MEDIUM PLATED NICKEL,29,SM CAN,1176.27, blithely pending re
1276,navajo firebrick sky hot peach,"Manufacturer#1","Brand#15",STANDARD PLATED NICKEL,19,WRAP CASE,1177.27,nal ideas nag
1277,grey floral cream purple green,"Manufacturer#3","Brand#31",PROMO BURNISHED STEEL,48,JUMBO DRUM,1178.27,express foxes det
1278,steel floral orange moccasin mint,"Manufacturer#4","Brand#43",STANDARD PLATED STEEL,13,JUMBO JAR,1179.27,en exc
1279,steel papaya chocolate indian antique,"Manufacturer#2","Brand#24",STANDARD BRUSHED STEEL,40,WRAP PACK,1180.27, against
1280,peach red violet floral snow,"Manufacturer#3","Brand#35",PROMO PLATED NICKEL,37,SM DRUM,1181.28,atelets boost quickly
1281,pale saddle almond misty lemon,"Manufacturer#4","Brand#44",STANDARD BURNISHED STEEL,41,LG PKG,1182.28,ully special 
1282,peach sienna frosted navajo tan,"Manufacturer#1","Brand#14",STANDARD POLISHED TIN,33,WRAP PACK,1183.28,pinto beans ha
1283,drab burnished white black lavender,"Manufacturer#2","Brand#22",PROMO BURNISHED BRASS,7,JUMBO DRUM,1184.28,ual foxes boost accor
1284,blush chocolate floral goldenrod lavender,"Manufacturer#1","Brand#13",ECONOMY BRUSHED COPPER,40,SM CAN,1185.28,ns integrat
1285,papaya snow indian burnished almond,"Manufacturer#5","Brand#55",LARGE POLISHED STEEL,36,LG BAG,1186.28,pecial instructi
1286,smoke coral white aquamarine drab,"Manufacturer#2","Brand#23",LARGE ANODIZED TIN,35,WRAP BAG,1187.28,ve the even pearls. e
1287,peach indian goldenrod green rosy,"Manufacturer#4","Brand#41",PROMO BRUSHED TIN,33,SM BOX,1188.28, acco
1288,drab wheat grey burnished burlywood,"Manufacturer#3","Brand#34",STANDARD BURNISHED NICKEL,48,SM PACK,1189.28,ctions. unusual as
1289,spring saddle cornsilk cream peru,"Manufacturer#4","Brand#43",STANDARD POLISHED TIN,29,JUMBO PACK,1190.28,tructions. 
1290,saddle lime linen beige burlywood,"Manufacturer#4","Brand#45",STANDARD ANODIZED COPPER,10,LG CAN,1191.29,dolites. pendin
1291,cornsilk peach dim ghost brown,"Manufacturer#3","Brand#35",SMALL PLATED COPPER,26,WRAP CASE,1192.29,yly express sentime
