O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
29895,679,F,161460.26,1993-10-21,3-MEDIUM,"Clerk#000000922",0,y final foxes. blithely special dugouts cajole carefully along t
29920,2819,O,147610.53,1996-02-11,4-NOT SPECIFIED,"Clerk#000000372",0,al requests use car
29921,2915,F,59101.46,1992-03-24,3-MEDIUM,"Clerk#000000955",0,the unusual foxes? quickly even instructions cajole 
29922,1438,O,180935.16,1996-03-21,2-HIGH,"Clerk#000000916",0,even excuses sleep. requests kindle slyly. ironic requests are. slyly regul
29923,1930,F,166455.30,1994-09-14,5-LOW,"Clerk#000000267",0,cording to the packages. quickly ironic foxes wake furio
29924,748,O,224188.24,1997-07-30,3-MEDIUM,"Clerk#000000898",0,posits. fluffily pending the
29925,2126,O,58622.89,1998-02-09,3-MEDIUM,"Clerk#000000352",0,ar requests sleep theodolites. dep
29926,2581,F,70494.40,1992-03-23,3-MEDIUM,"Clerk#000000282",0,s print doggedly. slyly unusual requests affix. quick
29927,1846,F,162398.69,1992-11-08,2-HIGH,"Clerk#000000152",0,ites across the slyly express requests wake furiously after the
29952,1786,O,135487.72,1996-08-30,2-HIGH,"Clerk#000000640",0,"er the unusual multipliers. special foxes haggle slyly: even,"
29953,1627,F,161919.97,1995-02-08,1-URGENT,"Clerk#000000158",0, furiously according to the slyly special pinto beans. slyly unusual
29954,439,O,210164.01,1996-01-08,4-NOT SPECIFIED,"Clerk#000000202",0,sts sleep after the fluffily ironic accou
29955,1021,O,124702.56,1996-03-18,2-HIGH,"Clerk#000000545",0,"across the express, bold requests. closely final"
29956,4,F,113061.93,1994-08-15,1-URGENT,"Clerk#000000566",0,to beans wake! pending
29957,1777,F,244113.44,1993-03-14,1-URGENT,"Clerk#000000390",0,nusual ideas are furiously. b
29958,2054,F,171454.43,1995-01-07,2-HIGH,"Clerk#000000540",0, furiously express platelets doze some
29959,1564,O,94251.57,1996-02-29,2-HIGH,"Clerk#000000835",0, final theodolites. packages snooze furi
29984,631,F,49783.42,1994-03-06,4-NOT SPECIFIED,"Clerk#000000833",0,ly. slyly express pint
29985,1672,F,99758.18,1992-07-12,1-URGENT,"Clerk#000000794",0,usly even accounts use express accounts. slyly special theodolites
29986,1939,O,112832.26,1995-07-04,1-URGENT,"Clerk#000000181",0,"ccounts are blithely across the final, unusual frets. carefully reg"
29987,824,O,22305.58,1997-06-17,3-MEDIUM,"Clerk#000000226",0,es use quickly carefully ironic packages. fluffily ironic deposits wake alongs
29988,956,F,60968.80,1994-06-13,2-HIGH,"Clerk#000000195",0,e. furiously special accounts use ac
29989,859,F,30039.05,1994-07-25,4-NOT SPECIFIED,"Clerk#000000701",0,azzle carefully across the blithely final d
29990,509,F,61718.47,1993-11-12,1-URGENT,"Clerk#000000779",0,"ld theodolites. furiously unusual deposits use according to the final, bol"
29991,1873,F,187416.24,1992-10-06,5-LOW,"Clerk#000000036",0,packages play quickly even pinto beans!
30016,1366,F,237691.86,1994-01-04,1-URGENT,"Clerk#000000962",0, foxes haggle caref
30017,2701,O,209652.29,1997-12-28,4-NOT SPECIFIED,"Clerk#000000557",0,deas? carefully pending accounts are slyly. quickly final a
30018,1321,O,59462.83,1997-01-13,5-LOW,"Clerk#000000384",0,". final, dogged requests are furiously ac"
30019,2698,O,328635.21,1997-10-27,5-LOW,"Clerk#000000346",0,ss the carefully express pinto beans. furiously reg
30020,82,O,180135.11,1997-07-29,3-MEDIUM,"Clerk#000000011",0,al courts! slyly unusual packages impress blithely after the slyly
30021,2503,F,75164.82,1993-03-13,1-URGENT,"Clerk#000000727",0,olites. even deposits instead of the slyly special ideas sleep special re
30022,539,O,96151.80,1996-05-08,5-LOW,"Clerk#000000750",0,le bold deposits. fluffily pending requests nag slyly among the quickly specia
30023,556,F,162508.97,1993-10-16,5-LOW,"Clerk#000000935",0,w blithely. carefully ironic theodolites sleep fluffily. even ac
30048,124,O,42479.44,1995-06-14,3-MEDIUM,"Clerk#000000326",0,ly. quickly even ideas x-ray slyly.
30049,805,O,158530.65,1996-01-02,2-HIGH,"Clerk#000000513",0,ymptotes breach fur
30050,995,F,164410.78,1993-06-20,3-MEDIUM,"Clerk#000000782",0,ckages cajole accordin
30051,469,F,104172.77,1992-03-21,4-NOT SPECIFIED,"Clerk#000000854",0, even requests. special requests nag stealth
30052,1127,O,112513.15,1998-03-08,1-URGENT,"Clerk#000000546",0,uld cajole furiously
30053,2272,F,268170.46,1994-02-02,1-URGENT,"Clerk#000000630",0,ng foxes sleep above the slyly 
30054,280,F,196442.60,1992-09-02,4-NOT SPECIFIED,"Clerk#000000265",0,g to the express package
30055,2398,F,164613.03,1993-04-17,5-LOW,"Clerk#000000657",0,ithely blithely even
30080,1798,O,128687.60,1997-07-27,1-URGENT,"Clerk#000000064",0,refully furiously regular requests. blithely ironic ideas dou
30081,2717,O,62191.63,1995-12-18,2-HIGH,"Clerk#000000151",0, after the blithely even
30082,533,O,208365.04,1996-12-13,1-URGENT,"Clerk#000000788",0,"ely ironic, final accounts. even theodolites are careful"
30083,526,F,97171.95,1994-01-09,4-NOT SPECIFIED,"Clerk#000000842",0,sly silent deposits. slyly 
30084,2620,O,83998.85,1997-10-20,2-HIGH,"Clerk#000000009",0,special deposits above the 
30085,2263,O,138240.43,1996-07-20,1-URGENT,"Clerk#000000569",0,the quickly regular requests are along the bold deposits. blit
30086,2134,O,217046.64,1996-07-01,2-HIGH,"Clerk#000000602",0,"deposits nag blithely blithely regular accounts. final, regular "
30087,565,F,137156.53,1993-09-20,2-HIGH,"Clerk#000000020",0,e carefully unusual foxes! final accounts det
30112,1909,F,76176.09,1993-02-23,2-HIGH,"Clerk#000000582",0,es. dependencies will have to cajole blithely silent reque
30113,229,F,36700.98,1992-02-01,5-LOW,"Clerk#000000894",0,g packages. final theodolites hang alongside of the 
30114,2554,F,41379.73,1993-08-17,5-LOW,"Clerk#000000638",0,slyly. bold requests sleep furiously among the blit
30115,1339,O,53077.84,1997-12-27,2-HIGH,"Clerk#000000577",0,carefully express requests affix blithely alon
30116,1256,O,129662.67,1998-04-05,5-LOW,"Clerk#000000037",0, silent instructions sleep.
30117,1396,F,12927.77,1993-06-13,3-MEDIUM,"Clerk#000000067",0,"gside of the regular, bold deposits. iro"
30118,2311,F,228266.20,1993-03-15,5-LOW,"Clerk#000000832",0,n requests after th
30119,781,O,179266.39,1998-06-11,1-URGENT,"Clerk#000000724",0,egrate fluffily. carefully ironic p
30144,1537,O,157910.89,1995-08-07,5-LOW,"Clerk#000000538",0,lly final accounts wake blithely doggedly r
30145,833,O,206103.77,1998-06-22,2-HIGH,"Clerk#000000779",0,ickly silent deposits cajole furiously. slyly even dependencies cajole qu
30146,2435,O,18263.81,1998-04-10,2-HIGH,"Clerk#000000622",0,"e express, ironic pin"
30147,1801,F,96971.63,1992-06-18,4-NOT SPECIFIED,"Clerk#000000975",0,nic deposits haggle carefully. carefully pending deposits boost sly
30148,2056,O,220093.71,1997-06-07,3-MEDIUM,"Clerk#000000807",0, to the permanent deposits are blithely above
30149,767,F,245525.98,1993-12-13,3-MEDIUM,"Clerk#000000474",0,ecial dependencies haggle slyly. fluffily final Tiresi
30150,2366,F,27537.50,1993-10-05,1-URGENT,"Clerk#000000169",0,dolites cajole alongside of the fluffily unusual accounts! furiously furious
30151,2852,F,131313.46,1995-01-30,4-NOT SPECIFIED,"Clerk#000000555",0,sts. furiously unusual excus
30176,2006,F,108688.39,1994-04-20,5-LOW,"Clerk#000000037",0,notornis. quickly final theodolites haggle fluffily slyly regu
30177,556,F,15324.41,1992-10-25,1-URGENT,"Clerk#000000998",0,beans across the quickly final theodolites
30178,334,F,79833.36,1992-11-23,2-HIGH,"Clerk#000000136",0,", bold gifts grow furiously pinto beans! carefully unusual packages sl"
30179,2954,O,207020.76,1997-10-31,2-HIGH,"Clerk#000000910",0,"nts wake express, regular theodolites"
30180,668,O,173043.50,1997-01-06,3-MEDIUM,"Clerk#000000774",0,the fluffily unusual accounts. blithely even re
30181,2746,O,72553.53,1996-07-15,4-NOT SPECIFIED,"Clerk#000000519",0,riously ironic ideas. ironic dependencies wake carefully final braid
30182,1604,F,18258.65,1995-01-09,3-MEDIUM,"Clerk#000000139",0, packages. blithely regular platelets wi
30183,952,O,203352.26,1997-06-10,5-LOW,"Clerk#000000454",0,ermanently even excuses. blithely iro
30208,595,F,345102.15,1992-07-17,5-LOW,"Clerk#000000063",0,ajole carefully above the special platelets. f
30209,2122,F,62966.14,1994-10-31,2-HIGH,"Clerk#000000920",0,symptotes. quickly even requests are quickly carefully
30210,1534,O,170651.70,1998-03-01,2-HIGH,"Clerk#000000021",0,"y. express asymptotes doubt blithely. bold, unusual platelets against the q"
30211,1997,F,226626.20,1993-06-08,3-MEDIUM,"Clerk#000000901",0,"cajole along the regular, bold packages. quietly final deposits use "
30212,1876,O,219529.99,1997-11-10,2-HIGH,"Clerk#000000769",0,ogged somas sleep. furiously ironic de
30213,1573,F,8439.96,1993-04-16,5-LOW,"Clerk#000000732",0,"equests snooze. ironic, express platelets haggle. "
30214,142,F,191135.60,1994-10-05,5-LOW,"Clerk#000000341",0,"ounts. final, expres"
30215,314,F,284891.17,1994-02-27,3-MEDIUM,"Clerk#000000034",0,ainments are fluffily along the blithely ironic ac
30240,2704,O,163645.42,1998-03-17,5-LOW,"Clerk#000000911",0,ully pending requests are furiously regular ideas. quick
30241,421,O,146628.41,1997-08-24,5-LOW,"Clerk#000000100",0,t dolphins sublate quickly regular accounts; blithely
30242,16,O,100967.31,1998-04-21,2-HIGH,"Clerk#000000817",0,onic deposits boost slyly according to the dogged requests. packages g
30243,817,F,169076.53,1993-05-06,1-URGENT,"Clerk#000000295",0,l warhorses boost. furiously express deposits agains
30244,1459,O,92613.61,1996-07-23,2-HIGH,"Clerk#000000733",0,carefully regular accounts? carefully quick warthogs above
30245,1531,O,146272.08,1997-12-17,4-NOT SPECIFIED,"Clerk#000000647",0,g deposits cajole slyly. blithely final accounts nag. blithely p
30246,2458,O,106461.94,1996-10-21,1-URGENT,"Clerk#000000976",0,e quickly final accounts. slyly special hockey players 
30247,739,O,192330.30,1998-05-02,4-NOT SPECIFIED,"Clerk#000000379",0,oxes detect slyly above the pinto beans. blithely pending deposits affix. bl
30272,2060,O,44425.65,1996-06-29,2-HIGH,"Clerk#000000571",0,"s are regular, final deposits. bold asymptote"
30273,752,O,172897.87,1997-01-21,4-NOT SPECIFIED,"Clerk#000000157",0,the final instructions boost clo
30274,1348,O,192859.45,1997-10-03,1-URGENT,"Clerk#000000943",0,"nments are slyly ironic deposits. regular, pending"
30275,1291,O,81607.05,1997-10-10,3-MEDIUM,"Clerk#000000892",0,"carefully. final, even requests could boost blithely alon"
30276,1996,O,168352.43,1995-08-27,5-LOW,"Clerk#000000057",0,le furiously ironic accounts. even packages ar
30277,2695,O,134690.06,1998-01-10,1-URGENT,"Clerk#000000077",0, the even ideas. carefully unusual platelets about the special platelets de
30278,2680,F,29872.84,1994-10-01,5-LOW,"Clerk#000000503",0,phs. furiously regular ideas wake. furiously regular theodolites use f
30279,2062,O,259797.25,1995-12-08,1-URGENT,"Clerk#000000852",0,riously even deposits haggle slyly carefully ironic theodolites. final 
30304,1051,O,127529.71,1995-06-15,1-URGENT,"Clerk#000000731",0,"ages. carefully express platelets wake furiously unusual, even accounts. iron"
30305,2824,F,125623.12,1992-04-17,5-LOW,"Clerk#000000382",0,the carefully special theodolites. quickly 
30306,19,O,32253.24,1995-06-15,4-NOT SPECIFIED,"Clerk#000000707",0,ly regular foxes along the regular deposits
30307,2048,F,112120.00,1992-05-02,2-HIGH,"Clerk#000000186",0,es. carefully final foxes detect b
30308,1558,F,66848.10,1993-03-22,3-MEDIUM,"Clerk#000000810",0,ess packages. slyly pending pinto
30309,1102,O,41887.94,1996-09-21,1-URGENT,"Clerk#000000275",0,ithely final requests wake busily pending de
30310,2684,F,123262.70,1992-04-27,3-MEDIUM,"Clerk#000000386",0,special packages. ironic requests are furiously regular patterns. express req
30311,2570,F,170453.30,1992-08-07,4-NOT SPECIFIED,"Clerk#000000866",0,ainments nag furiously blithely even deposits. blithely 
30336,1546,F,180119.97,1993-01-30,3-MEDIUM,"Clerk#000000830",0,"es snooze furiously slyly express accounts. final, ironic deposits use car"
30337,517,O,102869.03,1997-05-13,2-HIGH,"Clerk#000000013",0,cording to the furiously even d
30338,2161,O,65168.66,1997-12-21,3-MEDIUM,"Clerk#000000859",0,"ully. even pinto beans play after the idle excuses. thin, regula"
30339,1990,F,220507.13,1993-04-27,3-MEDIUM,"Clerk#000000127",0,ckages alongside of t
30340,1372,F,308533.38,1994-11-11,3-MEDIUM,"Clerk#000000966",0,ages. blithely regular requests haggle above the final accounts.
30341,283,F,206062.47,1994-02-01,5-LOW,"Clerk#000000204",0,xes haggle furiously i
30342,2506,O,221132.24,1998-02-11,4-NOT SPECIFIED,"Clerk#000000446",0,ges according to the special foxes cajole about the requests. fl
30343,910,F,249688.82,1992-05-22,1-URGENT,"Clerk#000000456",0,egular excuses wake slyly alongside of the ironic depo
30368,1537,O,27284.44,1997-12-02,3-MEDIUM,"Clerk#000000999",0,"nic, even accounts. carefu"
30369,2279,F,190508.54,1995-03-25,1-URGENT,"Clerk#000000067",0,"even requests use fluffily even, regular requests. final p"
30370,517,F,81281.25,1993-03-01,4-NOT SPECIFIED,"Clerk#000000246",0,nic frets. carefully ironic 
30371,862,O,81949.67,1997-01-06,1-URGENT,"Clerk#000000487",0,olphins according to the
30372,833,F,208788.04,1993-08-31,2-HIGH,"Clerk#000000589",0,quick pinto beans. blithely final requests sleep slyly on th
30373,383,O,192330.43,1996-10-14,5-LOW,"Clerk#000000151",0, the regular deposits. blithely silent deposits until the furiously unusu
30374,2200,F,175793.12,1993-03-22,1-URGENT,"Clerk#000000726",0,bold requests detect closely carefully regular depo
30375,157,F,129514.56,1992-05-04,5-LOW,"Clerk#000000473",0,iously express deposits sl
30400,1547,O,157793.95,1997-02-17,4-NOT SPECIFIED,"Clerk#000000602",0,"ding, ironic packages? carefully even packag"
30401,1850,F,24046.49,1992-10-19,3-MEDIUM,"Clerk#000000837",0,ckages. carefully blithe ideas nag slyly. slyly regular ti
30402,1108,F,240951.73,1994-06-19,1-URGENT,"Clerk#000000177",0,s. slyly express tithes haggle blithely. blithely pending excuses abo
30403,2429,F,157575.73,1992-07-11,2-HIGH,"Clerk#000000643",0,refully final courts accor
30404,2765,F,38106.09,1994-02-27,2-HIGH,"Clerk#000000459",0,ly unusual accounts boost furiously requests. blithely even foxes at the fluff
30405,1268,F,12537.91,1992-04-29,5-LOW,"Clerk#000000881",0,"s. even pinto beans along the ironic, expres"
30406,1663,F,174949.26,1994-06-17,3-MEDIUM,"Clerk#000000779",0,"en, pending accounts against the blithely fina"
30407,1777,F,199901.12,1994-04-18,5-LOW,"Clerk#000000138",0,ggle after the slyly ironic requests. even foxes cajole final foxes. 
30432,586,F,161893.96,1994-02-27,3-MEDIUM,"Clerk#000000907",0,dependencies according to the blithely special requests affix carefully 
30433,1286,F,186753.42,1993-06-10,3-MEDIUM,"Clerk#000000821",0,symptotes boost. carefully final packages alongsid
30434,1742,O,74876.31,1996-10-31,2-HIGH,"Clerk#000000981",0,"encies. regular, even re"
30435,505,O,114906.26,1998-05-24,5-LOW,"Clerk#000000114",0," pending, special foxes. even, special pinto beans cajole blithely above the "
30436,2711,F,184404.65,1992-07-08,5-LOW,"Clerk#000000694",0,"y alongside of the furiously ruthless accounts. special,"
30437,436,O,105380.52,1996-08-16,5-LOW,"Clerk#000000847",0,ly unusual accounts haggle against the furiously special
30438,2654,O,65291.58,1997-06-05,3-MEDIUM,"Clerk#000000740",0," express, even theodolites. iro"
30439,1393,F,31359.99,1995-04-12,4-NOT SPECIFIED,"Clerk#000000071",0,y even theodolites are idly final accounts. even packages integrate 
30464,124,O,200403.87,1997-08-23,2-HIGH,"Clerk#000000933",0,al accounts after the fluffily regular dependencies haggle a
30465,2368,F,56052.45,1994-04-07,2-HIGH,"Clerk#000000212",0,arefully special accounts after the quickly bold packages c
30466,1000,O,109744.20,1996-01-30,1-URGENT,"Clerk#000000519",0,even dependencies. pending accounts cajole furiously along 
30467,1963,F,74960.06,1994-08-16,1-URGENT,"Clerk#000000051",0,efully even accounts dou
30468,370,F,22955.02,1993-03-28,2-HIGH,"Clerk#000000867",0,le furiously. requests after the idly express dependencies i
30469,1748,F,61028.22,1992-12-26,4-NOT SPECIFIED,"Clerk#000000816",0,l accounts hang furiously quic
30470,1615,F,254837.17,1993-12-27,2-HIGH,"Clerk#000000084",0,terns haggle quickly. quickly final requests across the
30471,1870,O,139618.49,1998-05-14,3-MEDIUM,"Clerk#000000857",0,grate slyly carefully regular theodolites. fluffily pending deposi
30496,1099,O,65495.87,1998-06-27,1-URGENT,"Clerk#000000056",0,"g the silent, regular instructions can affix carefully after th"
30497,1894,F,237835.03,1995-02-07,1-URGENT,"Clerk#000000586",0,ongside of the packages. quickly regular instructions are; foxes about the f
30498,1226,O,32344.49,1998-04-30,2-HIGH,"Clerk#000000794",0,"s. slyly pending requests are. regular, pending pint"
30499,2474,F,180217.34,1992-10-31,2-HIGH,"Clerk#000000662",0,posits haggle enticingly requests. blithely express ac
30500,2956,O,197520.30,1998-04-03,1-URGENT,"Clerk#000000171",0,its sleep furiously never regular requests. slyly exp
30501,139,O,33181.14,1997-04-18,2-HIGH,"Clerk#000000893",0, slyly ironic deposits h
30502,493,F,29121.81,1995-05-16,1-URGENT,"Clerk#000000733",0, sleep furiously. thinly unusual accounts alongside of the carefully s
30503,2254,F,17814.92,1994-04-04,3-MEDIUM,"Clerk#000000961",0,ges must hang furiously. furious
30528,1909,F,66418.95,1993-07-18,5-LOW,"Clerk#000000657",0,imes express packages
30529,268,F,194310.67,1994-08-05,5-LOW,"Clerk#000000927",0,"uriously even ideas nag express, regular packages. slyly regular dugouts"
30530,1255,O,30164.14,1996-08-01,2-HIGH,"Clerk#000000734",0,ounts sleep furiously. furiously express foxes are slyly. carefully idle reque
30531,1666,O,47246.06,1996-11-27,3-MEDIUM,"Clerk#000000018",0,regular excuses are furiou
30532,2035,O,97402.63,1995-11-27,2-HIGH,"Clerk#000000255",0, even foxes boost blithely even requests. fluffily fina
30533,551,F,249171.47,1994-10-03,5-LOW,"Clerk#000000222",0,"t furious, regular accounts. accounts use quickly unusual packages. s"
30534,110,F,85697.18,1995-02-10,1-URGENT,"Clerk#000000818",0,s wake fluffily. platelets cajole slyly according to the care
30535,557,O,195657.52,1996-02-11,5-LOW,"Clerk#000000788",0,es are slyly. carefully express pinto beans engage. slyly final platelets w
30560,1651,O,221690.84,1996-08-31,2-HIGH,"Clerk#000000129",0,deposits. fluffily express platelets cajole permanently. furiously unusual
30561,592,F,116090.99,1994-02-09,5-LOW,"Clerk#000000859",0,ove the furiously unusual dependencies x-ray slyly blithely iro
30562,2422,F,15953.20,1992-11-02,2-HIGH,"Clerk#000000050",0,ven instructions. ironic grouches cajole. excuses about the ironi
30563,2833,O,125892.71,1996-03-19,4-NOT SPECIFIED,"Clerk#000000332",0,e slyly bold packages. fluffily bus
30564,404,F,169385.78,1994-02-27,1-URGENT,"Clerk#000000283",0,ong the furiously busy packages boost across t
30565,2159,O,214869.95,1995-07-27,3-MEDIUM,"Clerk#000000192",0,nding frays use blithely special depos
30566,445,O,93849.77,1995-07-02,5-LOW,"Clerk#000000877",0," fluffily bold waters along the ironic, e"
30567,1678,F,245508.82,1994-01-15,4-NOT SPECIFIED,"Clerk#000000603",0, pinto beans. carefully ironic packages nag above the unusual requests. c
30592,1076,O,354167.88,1996-09-14,1-URGENT,"Clerk#000000994",0,ts integrate above the quietly
30593,1420,O,146101.64,1995-07-26,1-URGENT,"Clerk#000000050",0,l packages play furiously final
30594,1924,O,105650.82,1997-10-26,2-HIGH,"Clerk#000000577",0, impress fluffily! slyly even ideas sleep
30595,422,O,110267.70,1996-09-16,2-HIGH,"Clerk#000000358",0,ly final theodolites. re
30596,2851,O,251344.41,1998-04-02,2-HIGH,"Clerk#000000528",0,hely regular deposits across the bold escapades affix among the fluffily bl
30597,1423,F,191644.02,1992-08-06,2-HIGH,"Clerk#000000893",0,"unusual foxes cajole blithely even, ironic requests. quickly careful "
30598,787,F,141886.63,1993-10-16,3-MEDIUM,"Clerk#000000588",0,ole furiously accounts. special 
30599,1033,F,53182.92,1992-02-11,4-NOT SPECIFIED,"Clerk#000000957",0,nal requests cajole quietly always unusual instructio
30624,607,O,307742.71,1998-07-27,3-MEDIUM,"Clerk#000000983",0,ntly even excuses. pending dependencies d
30625,34,F,192604.90,1993-02-09,1-URGENT,"Clerk#000000373",0,es boost carefully. fluffily express deposits mold. slyly p
30626,1324,P,199605.47,1995-04-26,1-URGENT,"Clerk#000000645",0,latelets cajole slyly along the carefully ironic asy
30627,1562,F,98739.66,1992-05-09,4-NOT SPECIFIED,"Clerk#000000002",0,ructions. unusual deposits unwind special foxes. fluffily enticing asy
30628,1304,F,187830.74,1992-12-28,1-URGENT,"Clerk#000000235",0,ter the accounts run blithely alongside of the slyly brave 
30629,1924,F,139586.16,1992-01-23,3-MEDIUM,"Clerk#000000489",0,cial excuses cajole finally. furious
30630,511,O,131463.95,1998-07-29,2-HIGH,"Clerk#000000120",0,he quickly ironic pinto beans. regular accounts use slyly bold accounts. 
30631,409,F,112832.67,1993-06-18,1-URGENT,"Clerk#000000770",0,"quickly final packages promise quickly regular, furious excuses. furio"
30656,1312,P,276444.23,1995-04-04,3-MEDIUM,"Clerk#000000132",0,e daringly regular theodolites sleep slyly fluffily express deposits.
30657,2041,P,50699.94,1995-05-11,2-HIGH,"Clerk#000000108",0,xes lose. pending pack
30658,859,P,174355.09,1995-03-27,3-MEDIUM,"Clerk#000000908",0, cajole fluffily. even instructions haggle ruthlessly. unusual req
30659,217,O,54256.68,1995-09-14,1-URGENT,"Clerk#000000442",0,iously regular requests. carefull
30660,1220,F,279716.81,1992-09-06,1-URGENT,"Clerk#000000862",0,venly around the fluffily pending requests. furiously 
30661,1720,F,194519.45,1994-04-03,5-LOW,"Clerk#000000693",0,hely unusual pinto beans haggle about the unusual deposits. qui
30662,469,O,198700.18,1996-01-18,2-HIGH,"Clerk#000000500",0,e blithely. regular theodolites wake fluffily stealthily ironic
30663,107,O,75573.42,1998-04-15,1-URGENT,"Clerk#000000564",0,ding courts hang slyly. instructions are blithely requests. c
30688,2332,O,13150.62,1996-09-22,1-URGENT,"Clerk#000000591",0,"es are above the requests. pending, bold pack"
30689,1303,O,93895.12,1996-10-22,3-MEDIUM,"Clerk#000000744",0,r the accounts. slyly ironic requests along the carefully ironic pinto
30690,1751,F,103504.18,1993-02-25,3-MEDIUM,"Clerk#000000543",0, the furiously regular epitaphs.
30691,2458,O,104465.75,1996-06-23,1-URGENT,"Clerk#000000715",0,l foxes? carefully regular 
30692,1735,O,184661.59,1996-09-23,5-LOW,"Clerk#000000320",0,round the carefully even packages. fina
30693,2933,O,147768.98,1997-02-05,3-MEDIUM,"Clerk#000000409",0,cajole boldly furiously even accounts. theodolites boost. final depe
30694,244,F,15661.92,1992-02-17,5-LOW,"Clerk#000000963",0,"ven, ironic ideas integrate "
30695,2404,O,112812.91,1998-02-20,3-MEDIUM,"Clerk#000000594",0,its are slyly about the quickly regular accounts. furiously reg
30720,2065,F,183994.78,1992-09-28,5-LOW,"Clerk#000000139",0,dolites are slyly dogged ide
30721,739,O,32323.84,1996-01-12,5-LOW,"Clerk#000000914",0,ts sleep quickly slyly express
30722,1388,F,43838.65,1993-06-05,5-LOW,"Clerk#000000041",0,"thely up the unusual, unusual packages. courts wake above the pendi"
30723,1295,O,61237.21,1996-04-29,2-HIGH,"Clerk#000000334",0,s after the pinto beans nag slyly ac
30724,2689,O,45703.00,1996-02-28,2-HIGH,"Clerk#000000905",0,osits sleep busily quickly bold ideas. bold accoun
30725,802,F,240086.13,1994-12-29,3-MEDIUM,"Clerk#000000173",0,l foxes along the regular requests dazzle ironic packages. busily final i
30726,1756,F,83400.23,1994-11-26,3-MEDIUM,"Clerk#000000600",0,ing to the express epitaphs. slyly ironic theodolites haggle
30727,2125,F,253052.07,1992-07-26,3-MEDIUM,"Clerk#000000002",0,y ironic depths about the carefully even theodo
30752,2618,O,85580.89,1997-11-09,3-MEDIUM,"Clerk#000000685",0,"refully silent tithes. express, regula"
30753,2543,O,135105.94,1997-09-25,2-HIGH,"Clerk#000000858",0,ular asymptotes sleep sometimes. requ
30754,979,F,124736.39,1993-11-26,5-LOW,"Clerk#000000094",0,bold dolphins. carefully final packages use slyly pending packages. 
30755,1955,O,180068.34,1998-02-13,1-URGENT,"Clerk#000000912",0,", final requests nag fu"
30756,1528,O,170375.81,1997-09-20,4-NOT SPECIFIED,"Clerk#000000231",0,"slyly near the quickly silent accounts. regular, bold frays sleep fluffil"
30757,1312,F,65578.63,1993-12-27,3-MEDIUM,"Clerk#000000830",0,s. furiously express ideas around
30758,973,O,54982.80,1998-07-07,5-LOW,"Clerk#000000385",0,ecial deposits are carefully. special
30759,895,F,48640.73,1994-05-09,4-NOT SPECIFIED,"Clerk#000000529",0,ding to the slyly pending theodolit
30784,980,F,143941.20,1992-05-08,3-MEDIUM,"Clerk#000000784",0,ag blithely ironic packages. final accounts nag slyly! r
30785,1744,F,151548.51,1994-07-04,2-HIGH,"Clerk#000000576",0,haggle blithely slyly regula
30786,1361,F,238312.11,1992-07-17,3-MEDIUM,"Clerk#000000374",0,boost across the furiously regular ideas? quickly regula
30787,2081,O,55447.21,1995-09-28,2-HIGH,"Clerk#000000588",0,ns nag slyly around the slyly unusual deposits. care
30788,1954,F,177787.26,1992-10-22,2-HIGH,"Clerk#000000028",0,"ronic excuses cajole furiously final requests. regular, r"
30789,629,F,193647.85,1994-06-27,4-NOT SPECIFIED,"Clerk#000000678",0, haggle slyly special instr
30790,1654,F,344562.04,1992-12-11,4-NOT SPECIFIED,"Clerk#000000191",0,ackages play. ironic excuses wake fluffily a
30791,1757,O,141496.95,1997-10-14,2-HIGH,"Clerk#000000367",0,refully ironic packages are accounts! regular requests haggle slyly
30816,2150,O,31155.82,1996-11-26,1-URGENT,"Clerk#000000544",0,quickly quickly idle deposits. ironic deposits after the bold deposit
30817,2567,O,148474.38,1996-08-30,2-HIGH,"Clerk#000000286",0,ace of the carefully careful id
30818,112,O,244052.07,1997-07-22,2-HIGH,"Clerk#000000865",0,"efully express deposits about the regular, express foxes cajole slyly against"
30819,1829,F,8163.48,1992-05-07,2-HIGH,"Clerk#000000028",0,uriously furiously regular theodolites. slow theodolites at the slyly bold cou
30820,1301,F,71290.02,1995-04-10,1-URGENT,"Clerk#000000107",0,requests detect furi
30821,835,F,152141.90,1994-01-10,3-MEDIUM,"Clerk#000000949",0,its; quickly ironic braids doubt f
30822,2779,O,200848.34,1996-11-30,3-MEDIUM,"Clerk#000000868",0,y ironic packages. furiously ironic frays across the carefully even ide
30823,1840,O,222149.88,1997-03-02,4-NOT SPECIFIED,"Clerk#000000346",0,ronic dependencies cajo
30848,523,P,162222.43,1995-05-02,3-MEDIUM,"Clerk#000000887",0,g deposits. special requests haggle quickly
30849,1135,O,196932.94,1996-03-11,3-MEDIUM,"Clerk#000000385",0,ular packages use slyly b
30850,386,F,58459.03,1992-05-26,2-HIGH,"Clerk#000000340",0, doggedly even deposits doubt special acco
30851,727,F,15509.87,1993-09-22,5-LOW,"Clerk#000000960",0,equests are. blithely even accounts wake. slyly special deposits according t
30852,1327,F,186736.93,1994-05-15,1-URGENT,"Clerk#000000128",0,. pinto beans across the furiously even theodolites shall wake about 
